Song,Type,Cover Artist,Total Plays,First Played,First Venue,First City,Last Played,Last Venue,Last City,Shows Played,Shows Since Last Play,Gap Status,Previous Gap,Average Shows Between Plays,Longest Gap,Venues Played,Cities Played
"Peggy-O","Cover","[traditional]",4,"06/05/2023","89 North","Patchogue","02/17/2025","Funk 'n Waffles","Syracuse",4,54,"Monster Gap",1,20.3,44,3,3
"Stay Easy House Remix","Original","",4,"02/27/2026","People's Pub","Bayport","06/27/2026","Arrowhead Ranch","Parksville",4,8,"Regular",5,2.7,5,3,3
"The Harder They Come","Cover","Jimmy Cliff",4,"04/12/2023","Blue Point Brewery","Patchogue","01/16/2026","Hubbards Cupboard","Port Chester",4,22,"Regular",5,32.3,89,3,3
"Whole Lotta Love","Cover","Led Zeppelin",4,"03/10/2023","Industry Lounge & Gallery","Huntington","01/18/2025","Mr. Beery's","Bethpage",4,56,"Monster Gap",28,22.7,34,4,3
"Aisle 8","Original","",3,"12/27/2023","Sayville Theater","Sayville","02/29/2024","Birdies","Patchogue",3,91,"Monster Gap",2,2,2,3,3
"Better Days","Original","",3,"12/27/2023","Sayville Theater","Sayville","05/17/2024","People's Pub","Bayport",3,84,"Monster Gap",4,5.5,7,3,3
"Breakdown","Cover","Tom Petty and the Heartbreakers",3,"06/10/2023","Blue Point Brewery","Patchogue","03/28/2025","Beau’s Bar","Greenlawn",3,51,"Monster Gap",17,32,47,2,2
"Down With Disease","Cover","Phish",3,"02/29/2024","Birdies","Patchogue","08/24/2024","Beau’s Bar","Greenlawn",3,72,"Monster Gap",11,8.5,11,3,3
"First Tube jam","Original","",3,"10/22/2023","Jamesport Farm Brewery","Riverhead","05/26/2024","Pat Cav's Backyard","Sayville",3,83,"Monster Gap",2,9.5,17,3,3
"Franklin'd Up In Blue","Original","",3,"06/05/2023","89 North","Patchogue","06/18/2025","Port Jeff Brewing Company","Port Jefferson",3,46,"Bust Out",59,35,59,3,3
"Goodbye Horses","Cover","Q Lazzarus",3,"03/09/2024","Blue Point Brewery","Patchogue","10/31/2024","Sayville Theater","Sayville",3,62,"Monster Gap",5,13,21,3,3
"I Shot the Sheriff","Cover","The Wailers",3,"05/20/2023","Blue Point Brewery","Patchogue","06/29/2025","Arrowhead Ranch","Parksville",3,44,"Bust Out",17,36.5,56,3,2
"If You're Ernie & You Know It","Original","",3,"03/11/2023","89 North","Patchogue","08/24/2024","Beau’s Bar","Greenlawn",3,72,"Monster Gap",28,26,28,3,3
